Davis Select Worldwide ETF All Holdings as of 5/5/26,,,,,,,,,,
Name,Ticker,Weighting (%),Shares,Market Value ($),Country,CUSIP,,,,
"Full Truck Alliance Co. Ltd.,",YMM,6.01,"3,873,497","34,396,653",China,35969L108,BMD2L36,0,Full Truck Alliance,0
Coterra Energy Inc.,CTRA,5.41,"868,960","30,961,045",USA,127097103,2162340,0.03,Coterra Energy,0.03
"Samsung Electronics Co., Ltd.",005930 KS,5.35,"185,380","30,632,811","Korea, (South)",,6771720,0.76,Samsung Electronics,0.86
Ping An Insurance (Group),2318 HK,4.53,"3,189,015","25,915,414",China,,B01FLR7,0.05,Ping An Insurance Group,0.06
Viatris Inc.,VTRS,4.13,"1,522,109","23,623,132",USA,92556V106,BMWS3X9,0,Viatris,0
"Trip.com Group Ltd., ADR",TCOM,3.96,"432,846","22,681,130",China,89677Q107,BK1K3N2,0,Trip.com Group,0.03
"Tyson Foods, Inc., Class A",TSN,3.68,"307,470","21,043,247",USA,902494103,2909730,0.02,Tyson Foods,0.02
"JBS N.V., Class A",JBS,3.63,"1,279,240","20,774,858",Brazil,N4732M103,BT18HL5,0.01,JBS,
"AppLovin Corp., Class A",APP,3.53,"42,228","20,189,629",USA,03831W108,BMV3LG4,0.11,AppLovin,0.11
Julius Baer Group Ltd.,BAER SE,3.49,"244,120","19,964,755",Switzerland,,B4R2R50,0.02,Julius Baer Group,0.02
"Meta Platforms, Inc., Class A",META,3.27,"30,967","18,733,796",USA,30303M102,B7TL820,1.33,Meta Platforms,1.33
"Alphabet Inc., Class C",GOOG,3.22,"47,953","18,426,899",USA,02079K107,BYY88Y7,1.88,Alphabet,4.15
"Prosus N.V., Class N",PRX NA,3.16,"379,518","18,093,400",Netherlands,,BJDS7L3,0.06,Prosus,0.06
MGM Resorts International,MGM,3.09,"465,808","17,658,781",USA,552953101,2547419,0,MGM Resorts,0
"Sea Limited, Class A, ADR",SE,3.08,"208,894","17,647,365",Singapore,81141R100,BYWD7L4,0.03,Sea,0.03
Capital One Financial Corp.,COF,3.05,"91,965","17,443,921",USA,14040H105,2654461,0.12,Capital One Financial,0.12
Markel Group Inc.,MKL,2.98,"9,657","17,042,770",USA,570535104,2566436,0.02,Markel Group,0.02
CVS Health Corp.,CVS,2.23,"158,312","12,774,195",USA,126650100,2577609,0.1,CVS Health,0.1
"Amazon.com, Inc.",AMZN,2.07,"43,247","11,830,217",USA,23135106,2000019,2.65,Amazon.com,2.65
"DiDi Global Inc., Class A, ADS",DIDIY,2.05,"3,247,410","11,723,150",China,2.33E+112,BMBR6F0,0,DiDi Global,0
SAP SE,SAP GR,2.04,"66,500","11,668,255",Germany,,4846288,0.18,SAP,0.18
AIA Group Ltd.,1299 HK,1.97,"1,026,490","11,294,567",Hong Kong,,B4TX8S1,0.12,AIA Group,0.12
"SANY Heavy Industry Co., Ltd. - H",6031 HK,1.94,"4,084,910","11,126,802",China,,BMHH632,0,SANY Heavy Industry,0
LyondellBasell Industries N.V.,LYB,1.89,"139,170","10,821,859",USA,N53745100,B3SPXZ3,0.02,LyondellBasell Industries,0.02
"Berkshire Hathaway Inc., Class B",BRK B,1.82,"22,396","10,425,786",USA,84670702,2073390,0.64,Berkshire Hathaway,0.64
"Meituan, Class B",3690 HK,1.75,"944,240","10,027,711",China,,BGJW376,0.05,Meituan,0.05
Solventum Corp.,SOLV,1.57,"130,541","9,012,551",USA,83444M101,BMTQB43,0.01,Solventum,0.01
Silergy Corp.,6415 TT,1.46,"596,000","8,332,049",Taiwan,,BH4DMW9,0,Silergy,0
Cigna Group,CI,1.44,"29,890","8,239,477",USA,125523100,BHJ0775,0.07,Cigna Group,0.07
"Teck Resources Ltd., Class B",TECK,1.42,"140,811","8,138,876",Canada,878742204,2124533,0.03,Teck Resources,0.03
U.S. Bancorp,USB,1.34,"137,724","7,657,454",USA,902973304,2736035,0.09,U.S. Bancorp,0.09
AUMOVIO SE,AMV0 GR,1.27,"166,750","7,249,457",Germany,,BMYPLM3,0,AUMOVIO,0
UnitedHealth Group Inc.,UNH,1.23,"19,334","7,035,063",USA,91324P102,2917766,0.33,UnitedHealth Group,0.33
Entain plc,ENT LN,0.91,"725,362","5,210,234",UK,,B5VQMV6,0,Entain,0
ITOCHU Corp.,8001 JP,0.78,"355,050","4,491,737",Japan,,6467803,0.08,ITOCHU,0.08
"Pinterest, Inc., Class A",PINS,0.7,"179,696","4,003,627",USA,72352L106,BJ2Z0H2,0.01,Pinterest,0.01
"NetEase, Inc., ADR",NTES,0.68,"34,038","3,917,774",China,64110W102,2606440,0,NetEase,0
Naspers Ltd. - N,NPN SJ,0.41,"43,590","2,319,210",South Africa,,BV2FFX7,0.04,Naspers,0.04
Cash Component,,3.46,0,0,,,,0,,0